"","Visits","Unique.Visits","Revenue","Profit","Lbs.Sold"
"mean",856.57,800.79,371728.02,111045.82,14577.79
"median",847.5,800,348397.09,104530.45,13646.89
"std. dev.",70.89,72.36,145728.33,49065.27,5941.56
"minimum",772,709,133966.9,32825.3,3825.75
"maximum",963,912,615950.17,206441.2,23761.61
