"","Visits","Unique.Visits","Revenue","Profit","Lbs.Sold"
"mean",1055.21,975.93,608250.12,200233.41,18736.73
"median",899,845.5,586169.66,208913,17269.7
"std. dev.",355.03,319.6,155930.4,60691.55,5427.39
"minimum",626,594,274567.61,62580.4,8633.06
"maximum",1632,1509,890076.65,275218.1,28052.92
