"","Visits","Unique.Visits","Revenue","Profit","Lbs.Sold"
"mean",1814.35,1738.82,456398.85,131929.9,17112.92
"median",1663,1585,413937.08,114328.4,17299.12
"std. dev.",758.1,743.03,161741.1,47776.85,6519.07
"minimum",1000,930,268159.51,81841.4,7814.05
"maximum",3726,3617,897163.71,266476.7,31496.26
